Moso language,English Translation
na:ɾu,48_hand
mauɾi,17_left
matuwa,16_right
natuwa,52_leg
surata,140_walk
napuwa,113_roadpath
napuwa ki:ki,113_roadpath
ndanoap,91_ash
mai,139_come
nok͡po,94_dust
nawili,55_skin
naŋmaɾuna,51_back
nak͡pwelena,444_stomach
nafa:tu,54_bone
namarita,57_intestines
ndalkap,59_liver
mo:mo,58_breast
napauma,49_shoulder
pafejana:tæjana,315_know_understand
wænpafeja namɾoɾoana,458_to_think
amtako,175_fear
nara,53_blood
nak͡pauma,40_head
nænoa,50_neck
næluma,41_hair
naŋsuna,43_nose
aɾoŋoe,161_hear
alpisiko,469_to_see
alejo,160_see
nak͡pona,162_sniffsmell
naŋolena,45_mouth
napatina,47_tooth
namenŋ͡ma,46_tongue
eɾaŋe,164_cry
eluwa,178_vomit
ndɾaniju,154_spit
ŋankani,151_eat
alsaŋma,464_to_chew
munu,152_drink
katija,212_to_bite
ntaliŋa,44_ear
mɾok͡paija,315_know_understand
namata,42_eye
molæe,153_yawn
maturu,156_sleep
k͡peɾeja,155_dream
toktano,429_sit_down
natamo:li,306_person
nanowai,73_man
naŋoroi,74_woman
maɾiki,79_husband
pejakiki,75_child
fitariki,80_wife
nasoŋ͡ma,111_house
te:te,77_mother
ma:ma,78_father
naŋse,76_name
panowai,182_say
ntali,112_rope
kopasija,173_hunt
suwja,189_shoot
k͡pokatija,169_hit
panakoe,186_steal
k͡pokatija eŋmate,159_kill
emate,158_die
namauɾijana,157_live
makalkala,183_scratch
ɾæja,170_cut
ndɾæek͡pɾæja,171_split
makali,121_sharp
era makal,122_bluntdull
k͡polu,122_bluntdull
nawosijana,190_work
pwælao,187_plant
epuka,181_swell
eŋmolija,180_squeeze
epotsokija,174_hold
pakotofi,185_buy
polaŋati,191_open
k͡pokawokatija,168_pound
naɾkinija,149_throw
eɾowo,143_fall
kuɾija,60_dog
manu,61_bird
atolu,69_egg
namau,72_feather
napaɾa,71_wing
eɾiɾi,148_flyverb
kusuwe,66_rat
nak͡pas,336_meat
napuwe,70_tail
ma:ta,63_snake
to:to,64_worm
ku:tu,65_louse
na:mu,68_mosquito
kalau,67_spider
tika:mu,67_spider
naika,62_fish
ek͡powa,130_rotten
aɾan,105_branch
naulu,106_leaf
nafuman flawa,109_flower
nakoa,104_root
nawa,102_fruit
namwenau,108_grass
waŋo,396_pig
ntano,93_earthsoil
fa:tu,92_stone
nauɾæeno,95_sand
nowæi,86_water
esaɾa,286_flow
ntasi,88_sea
rara,87_lake
namlas,103_woodsforest
ætlaŋ,83_moon
masoe,84_star
u:sa,96_rain
tofae,99_thunder
nafila,100_lightning
nakro atlaŋ,85_sky
nasoko,97_cloud
namafu,340_fog
nalaŋi,98_wind
suwja,165_blow
fitinu,483_hot
mlaɾi,134_cold
ŋaɾkaɾa,135_dry
emɛu,136_wet
emaɾaŋa,131_heavy
nakapu,89_fire
esoɾo,166_burn
nasuwa,90_smoke
elowa,114_black
eɾaɾe,115_white
emɛjala,116_red
emunmono,118_yellow
mlaksa,117_green
ŋiki,120_small
k͡paɾuwa,119_big
pu:ɾu,426_short
paɾau,328_long
maŋuɾa,457_thin
matolu,456_thick
saki,392_sick
malijeɾe,123_shyashamed
tematuwa,124_old
tefao,137_new
ek͡pija,126_good
esa:,127_bad
lomau,128_correcttrue
k͡poŋi,82_night
alejati,81_day
esili,150_hide
apaŋi,146_climb
ekopu,39_ininside
elaŋ,37_above
etano,480_under
winaŋa,35_this
næwana,36_that
malaɾiŋi,466_to_close
uɸeja,132_far
esa:,32_where
kinau,18_i
niŋo,23_thou
næe,26_heshe
kinamɾuwa,21_webothexcl
numuɾuwa,24_youboth
nimu,25_youall
niŋeɾa,22_weallincl
kinamɾuwa,2_two
kinam,19_weallexcl
naɾaɾuwa,28_theyboth
naɾa,27_theyall
nsa:,30_what
se:i,31_who
te:k͡pota,138_other
temauputi,195_all
eɾapalsa,34_how
e:,29_nonot
pafeja,176_count
sikmao,1_one
eɾuwa,2_two
eɾolu,3_three
epa:ti,4_four
elima,5_five
elatsa,6_six
pesija,172_dig
læɾowa,7_seven
lætolu,8_eight
lofeti,9_nine
ɾuwalima,10_ten
ɾuwalimatuwa,11_twenty
ɾuwalimalima,12_fifty
ponotijasikæi,13_onehundred
manusikæi,14_onethousand
intafærefære,258_fat
