Nombotkoteblacksands,English Translation
i-sua,1_one
i-rua,2_two
i-tl,3_three
i-vaˑs,4_four
i-lmɛ,5_five
ɛ-loβsua,6_six
i-laβrua,7_seven
i-lauβtl,8_eight
i-lavɛs,9_nine
i-laŋaβəl,10_ten
i-laŋaβəl_imʷatɛn__i-rua,11_twenty
i-laŋaβəl_imʷatɛn_ilme,12_fifty
hɛ-tau,15_year
nɛ-vɛra-m_boraŋənə,16_right
na-mʷɔir,17_left
həŋənɛ,18_i
kəⁿdal_ⁿdoᵐbʷɔ,19_weallexcl
kəⁿdar,20_webothincl
xəⁿdar_rua,21_webothexcl
kəⁿdal,22_weallincl
naŋuʰ,23_thou
nʊŋal,25_youall
ie,26_heshe
ⁿdl,27_theyall
i-skan,29_nonot
nɛsβi,30_what
huani,31_who
i-osɛ,32_where
ɛmɛtɛn_iɛlɛvani,33_when
isaᵐbʷa,34_how
iɛtinɛ,35_this
ietiwɔ,36_that
-limʷari,37_above
-vi,38_below
-vanuɔ,39_ininside
nɛᵐbʷat,40_head
nɛ-ɸlɛ-m,41_hair
hɛ-mɛt-i,42_eye
nɛ-ᵑgars-i,43_nose
ɛ-ⁿdɛliŋ-,44_ear
na-ᵐboŋɔ-n,45_mouth
nɛ-mɛlu-i,46_tongue
nɛ-lvʷo-m,47_tooth
nɛ-vɛra-m,48_hand
na-ᵐbosvara,49_shoulder
nɛ-ⁿdɛl-iʰ,50_neck
nɛ-tak-m,51_back
na-dla-ŋ,52_leg
nɛ-ⁿdʳe,53_blood
nɛ-vigai,54_bone
no-ivɪnɪs,55_skin
na-aftɛ-m,56_belly
nɛ-snɛ,57_intestines
a-nasɪs,58_breast
na-maᵐbora,59_liver
no-ᵐborman,60_dog
na-mæn,61_bird
na-igə,62_fish
na-mʷotɛ,63_snake
na-agʊt,65_louse
na-suɔ,66_rat
nɛ-ⁿdaŋalɛ,67_spider
nɛtoɡas,68_mosquito
no-mʷovi,69_egg
nɛ-vlɛᵐbɪsi,70_tail
nə-vli,72_feather
na-mugʊt,73_man
nɛ-tuβʷotɛ,74_woman
nɛ-teɪᵐborai,75_child
næ-gs-i,76_name
nɛsne_naɛne,77_mother
nɛ-tɛmɛn_naɛne,78_father
na-mugʊt_tɪgɪnɛ,79_husband
nɛ-tuβʷotɛ_tɪgɪnɛ,80_wife
ha-raniɛnɛ,81_day
luvugotɛ,82_night
nɛ-ᵐbasi,83_moon
ha-nɛvnvʉt,84_star
na-mʷap,85_sky
ne-ɛmp,86_water
na-ale,87_lake
nɛ-tas,88_sea
na-gam,89_fire
ha-mʷosuana,91_ash
nɛ-vat,92_stone
nɛ-tɛnɛ,93_earthsoil
-tɛnɛsɛlɛ,94_dust
nɛ-mɛseroan,95_sand
na-ausɛ,96_rain
na-mʷap,97_cloud
nɛ-mɛlasɛ,98_wind
na-aᵐbəlɛ,99_thunder
na-aᵐbəlɛ_isɛrɛ,100_lightning
nɛlaŋa,101_meatflesh
na-wanai,102_fruit
nɛ-ŋaraus,103_woodsforest
na-wari,104_root
nɛ-saŋi,105_branch
na-roai,106_leaf
na-i,107_wood
na-mʷo-nai,108_grass
a-rauiɛtɛ,110_thatchroof
ne-imʷɔ,111_house
nɛ-tal,112_rope
nɛ-sɛlɛ,113_roadpath
-hoβolau,115_white
-mimiɛlɛ,116_red
-mimɛlaˑxsɛ,117_green
-waswaˑsi,118_yellow
i-lɛᵐbaⁿdʳau,119_big
hɛ-rukᵐboi,120_small
maŋal,121_sharp
hi-ᵐbʊk,122_bluntdull
mʷolɛ,123_shyashamed
hi-mʷatiɛnɛ,124_old
-ᵑgɛlɛtɛ,125_painfulsick
i-βoi,126_good
i-sɛtɛ,127_bad
ɛ-lɛlɪŋə,129_dirty
i-ŋətɛ,130_rotten
hi-nɛmᵇ,131_heavy
-talak,132_far
-saŋasaŋa,133_near
nɛ-mɛlasɛ,134_cold
mɛsɛmɛsɛ,135_dry
i-lomᵇ,136_wet
u-βoβo,137_new
wɔ-ɸul,139_come
o-laŋə,140_walk
-trɛ,141_stand
-somᵇ,142_sit
hi-mor,143_fall
wa-ⁿdʳi,145_turn
-volɛsak,146_climb
wɔ-lɛlɛsɛ,147_swim
hu-vuᵐbuk,149_throw
-valɛs,150_hide
-dotao,151_eat
u-mɪn,152_drink
-mɛmsɪr,154_spit
-mʷonɛ,156_sleep
-mauor,157_live
i-mas,158_die
o-raβis-ᵐbin,159_kill
lɪs,160_see
hu-raŋa,161_hear
na-musni,162_sniffsmell
wo-βɪsɛŋgal,163_laugh
u-uarɛtɛˀ,164_cry
wi-up,165_blow
-sl_iⁿdau,166_burn
u-tr,167_sew
u-tɛltɛlᵐbɛ,168_pound
-tak,170_cut
-tagᵐbore,171_split
hu-kl,172_dig
hal-garara,173_hunt
-forundaudau,174_hold
nɛ-mɛtag-iɛne,175_fear
ho-ᵐbuluᵑk,176_count
-ŋɛrɛ,177_breathe
-lualuɔ,178_vomit
səᵐb_wo-tak,179_tieup
hu-ᵐbus,180_squeeze
i-lɛᵐbɛ,181_swell
-sɛrɛ,182_say
u-saˀ,184_stab
hu-βul,185_buy
-marak,186_steal
-koβʷak,187_plant
hu-vini,189_shoot
wo-rak,190_work
u-wul,191_open
