Nulnesa,English Translation
limana,48_hand
mʷɛl,17_left
marua,16_right
la:na,52_leg
mial,140_walk
rapa,113_roadpath
pimi,139_come
ojilomoj,145_turn
okul,147_swim
koroɔk,129_dirty
supuluaj,94_dust
kuluepena,55_skin
masna,51_back
mopona,444_stomach
purina,54_bone
sinena,57_intestines
puriɛr,59_liver
rajuna,58_breast
milaⁿdimana,49_shoulder
nakilijaena,315_know_understand
stomsuuria,458_to_think
marau,175_fear
ta:na,53_blood
pana,40_head
komɛlkina,50_neck
ilĭpana,41_hair
kununa,43_nose
urlaŋ,177_breathe
olopon᷈a,434_sniff
kaŋgona,45_mouth
raluena,47_tooth
purnena,46_tongue
ojita:le,163_laugh
tang,164_cry
lualua,178_vomit
puli:,154_spit
kinana,151_eat
telma,464_to_chew
iraŋ kap,188_cook
omun᷈a,152_drink
okarĭja,212_to_bite
omun᷈a,448_suck
kiliŋgana,44_ear
loŋgoja,161_hear
komara:na,42_eye
olualja,160_see
mieluajo,153_yawn
memaljo,156_sleep
mono,144_liedown
moninja,155_dream
totono,142_sit
sumalu,141_stand
eririna,306_person
ɛrmon,73_man
sira,74_woman
sisua:,75_child
ohu,79_husband
ohu,80_wife
aʰuja,77_mother
ata,78_father
juma,111_house
makaero,455_thatch
saⁿki,76_name
ojisa,182_say
kilka,112_rope
ojia:rja,179_tieup
lilia,167_sew
nasuluena,362_needle
la:man,173_hunt
pinija,189_shoot
miurja,184_stab
mʷeʰa,169_hit
pinau ,186_steal
mʷemaria,159_kill
mare,158_die
maal,157_live
kuparia,183_scratch
tea,170_cut
lak,107_wood
tepaja,171_split
ma:al,121_sharp
ma:o,122_bluntdull
maʰe,190_work
mapla,187_plant
piloʰa,465_to_choose
kapur,302_to_grow
sirop,181_swell
un᷈a,180_squeeze
taraja,174_hold
kilka,172_dig
pulja,185_buy
pikea,191_open
mʷemʷeʰa,168_pound
kuaŋlua,149_throw
leru,143_fall
lokul,60_dog
manŭ,61_bird
kulu:to,69_egg
ilu:sia,72_feather
kupena,71_wing
ka,148_flyverb
kawe,66_rat
kuᵐbui,336_meat
sina:ita,258_fat
ki:na,70_tail
lomara,63_snake
kular,64_worm
kur,65_louse
nam,68_mosquito
koromalil,67_spider
ika,62_fish
menun,130_rotten
korowa:sia,105_branch
mak,106_leaf
puluŋgasia,104_root
inak,109_flower
rak,102_fruit
mamun,108_grass
snateno,93_earthsoil
klajɛr,92_stone
non,95_sand
wi,86_water
wi kiri,286_flow
si:,88_sea
si:,419_salt
lapa,87_lake
emarua,103_woodsforest
snapɛn,85_sky
kupario,83_moon
erue,84_star
snapɛn,97_cloud
polul,340_fog
iwa,96_rain
polul,99_thunder
jokarpila,100_lightning
laŋ,98_wind
miʰu,165_blow
epsusun,483_hot
mijawa,134_cold
mema,135_dry
meme,136_wet
urmi,131_heavy
kap,89_fire
kekan lelea,166_burn
epua,90_smoke
snokap,91_ash
mokoⁿko,114_black
mi:wo,115_white
pilil,116_red
lelɛr,118_yellow
meme,117_green
takito,120_small
tahura,119_big
plasia,426_short
piaj,328_long
menini,457_thin
mererɛl,456_thick
pekokosia,359_narrow
tahura,489_wide
la:a,125_painfulsick
mawa,123_shyashamed
penamarua,124_old
pena:ʰo,137_new
polɛj,126_good
peha:l,127_bad
mesmes,128_correcttrue
malŭko,82_night
lɛŋena,81_day
ka:sia,15_year
poŋgiɑj,33_when
kuanlilon᷈a,150_hide
pu:u,146_climb
loʰima,39_ininside
maja,37_above
ja:teno,38_below
naŋgani,35_this
naŋga mokear,36_that
pe,32_where
nu,18_i
ko,23_thou
naŋa,26_heshe
iⁿda,22_weallincl
miᵐne,19_weallexcl
italua,20_webothincl
miᵐlua,21_webothexcl
amjune,25_youall
amjulua,24_youboth
nala,27_theyall
nalelua,28_theyboth
lajis,30_what
pɛrna,31_who
wakarne,138_other
jane,195_all
anlua,199_and
sa:ne,311_if
sepe,34_how
poluŋa,29_nonot
uluja,176_count
taŋa,1_one
lua,2_two
telu,3_three
jari,4_four
lima,5_five
orɑj,6_six
olua,7_seven
orɛl,8_eight
ojar,9_nine
lualima,10_ten
lualima lua,11_twenty
lualimlualima,12_fifty
ponotiataŋa,13_onehundred
ponotia taŋa pea taŋga,14_onethousand
