Saa_Wanur,English Translation
wa:to,268_grandfather_paternal
biɸi,269_grandmother_paternal
wa:to na temæk,262_uncle_paternal_older
wasisi temæk,280_uncle_paternal_younger
biɸi ciwit,269_grandmother_paternal
itnik antokeɾeni,273_aunt_paternal_older
itnik antekan,281_aunt_paternal_younger
temæk,78_father
dasɪk,77_mother
biɸi,298_grandfather_maternal
mitɪk,346_uncle_maternal_older
mitɪk antekan,354_uncle_maternal_younger
watok,299_grandmother_maternal
tasɪk ætlap,347_aunt_maternal_older
dasɪk antekan,355_aunt_maternal_younger
watok ætlap,374_brother
watok,264_first_cousin_male_paternal_uncle
selak,263_first_cousin_female_paternal_uncle
mæɸik,277_first_cousin_male_paternal_aunt
mæɸik,275_first_cousin_female_paternal_aunt
biɸi,343_first_cousin_male_maternal_uncle
biɸi,344_first_cousin_female_maternal_uncle
wamwinik,351_first_cousin_male_maternal_aunt
selak,350_first_cousin_female_maternal_aunt
wancuk,261_father_in_law_of_woman
waiŋuk,310_mother_in_law_of_woman
itnin,341_mother_in_law
mitin,260_father_in_law
nak tawas,79_husband
nan isin,80_wife
waiŋok,235_daughter_in_law
mæɸik,436_grandchild_son
wancuk,75_child
wamwinik,238_grandson_daughter
temæk,237_son_in_law
wasisik,236_granddaughter_daughter
temæk,376_nephew_fraternal_older
itnik,375_niece_fraternal_older
temæk,501_nephew_fraternal_younger
itnik,214_niece_fraternal
wancuk,386_nibling_sororal_older
wancuk,507_nibling_sororal_younger
mitɪk,342_uncle_maternal
itnɪk,274_aunt_paternal
su:,1_one
ɾu,2_two
tɪl,3_three
ɪ:t,4_four
lim,5_five
licɪʲa,6_six
leuɾu,7_seven
le:tɪl,8_eight
liʲapat,9_nine
su:l,10_ten
nulsu:æsu,257_eleven
nulsuæmbeɾu,477_twelve
nulsuæmbetɪl,459_thirteen
nulsuæmbe:ɪt,288_fourteen
nulsuæmbelim,284_fifteen
nulsuæmbeliciʲa,430_sixteen
nulsuæmbeleuɾu,423_seventeen
nulsumæbele:tɪl,255_eighteen
nulsumæbeliʲapat,367_nineteen
nulpeɾu,11_twenty
nulbetɪl,460_thirty
nulbe:t,289_forty
nulbelim,12_fifty
nulɸlicʲa,431_sixty
nulɸeleuɾu,424_seventy
nulɸele:tɪl,256_eighty
nulɸelɪʲapat,368_ninety
nulsaŋulsu,13_onehundred
