Uliveolurtes,English Translation
-sua,1_one
ɛ-ru,2_two
i-ðor,3_three
i-vat,4_four
ɛ-rim,5_five
murɛp-tɛs,6_six
mɪlɛv-ru,7_seven
mɪlɛv-tor,8_eight
mɪla-pað,9_nine
sɪŋavur,10_ten
nɛ-ⁿdam,15_year
matu,16_right
mair,17_left
kinao,18_i
kɪⁿdaru,20_webothincl
kiⁿdato,22_weallincl
kaiuŋ,23_thou
kamiðo,24_youboth
kɪⁿdaru,25_youall
ᵑgai,26_heshe
kaⁿdiðo,27_theyall
kaliðo,27_theyall
kalaru,28_theyboth
-ᵐbuɛr,29_nonot
nɪsa,30_what
ase,31_who
ambe,32_where
-ŋais,33_when
i-maᵐbe,34_how
xaja,35_this
xajaŋ,36_that
-maɣat,37_above
-pipiðe,38_below
-loɣoim,39_ininside
kaⁿdu-m,40_head
horo-m,41_hair
mɪta-n,42_eye
honozu-m,43_nose
dariŋa-m,44_ear
ᵐboŋo-m,45_mouth
mea-m,46_tongue
rivo-m,47_tooth
vɪla-m,48_hand
ᵐbatɣovɛla-m,49_shoulder
hora-m,50_neck
maⁿdʳu-m,51_back
riɛ-m,52_leg
nɪ-nda,53_blood
bəlasu-m,54_bone
horxoᵐbɪ-m,55_skin
baɣavu-m,56_belly
ni-nɪ-m,57_intestines
na-zus,58_breast
maᵐp,59_liver
lipax,60_dog
nɪ-mæn,61_bird
a-jɛx,62_fish
nɪ-mat,63_snake
tuŋulas,64_worm
na-ɣʊt,65_louse
xazu,66_rat
liŋɛsɪŋɛs,67_spider
nɪ-nam,68_mosquito
ⁿdavoɣ_odɛ,69_egg
ᵑgilɛ-n,70_tail
khaᵐbɪla-n,71_wing
vuru-n,72_feather
uluman,73_man
pəɣavut,74_woman
ðɪðai,75_child
xasa-n,76_name
nana,77_mother
tata,78_father
soa-n_norman,79_husband
soa-n_paɣavut,80_wife
lɪneal,81_day
ɣaᵐbaðie,83_moon
mʷeso,84_star
mʷezɔ,84_star
nɪ-mɪsav,85_sky
nu-wai,86_water
lɪᵐbliᵐbor,87_lake
nɪ-tas,88_sea
na-xamp,89_fire
ᵐbʷasu-ɣamp,90_smoke
mʷasiaɸ,91_ash
nɪ-vat,92_stone
na-tan,93_earthsoil
na-ðan,93_earthsoil
masiaɸ,94_dust
biʉn,95_sand
na-us,96_rain
mariuŋ,97_cloud
nɛ-lan,98_wind
næ-ᵐbʷil_urur,99_thunder
pulurur,99_thunder
kaᵐbil,100_lightning
no-ᵑgɔⁿdʳ,101_meatflesh
huiðe,102_fruit
wide,102_fruit
liliɣai,103_woodsforest
harxɪ-te,104_root
harxə-ðe,104_root
pasɣa-ðe,105_branch
lute,106_leaf
luðe,106_leaf
na-xai,107_wood
liʉl,108_grass
vʷɪlɣaur,109_flower
ni-at,110_thatchroof
na-im,111_house
nə-ɣao,112_rope
nɪ-pisɛl,113_roadpath
-mɛrmɛɾ,114_black
-paravʊx,115_white
-ᵐbisᵐbis,116_red
kɪskɪzan,117_green
-jaŋjaŋ,118_yellow
to-tiᵐbao,119_big
-kɪkɛɣɛx,120_small
-kan,121_sharp
ɛ-ᵐbʷit,122_bluntdull
ᵐbʷið,122_bluntdull
-mɪtax,123_shyashamed
-xavut,124_old
-mɪsax,125_painfulsick
i-voi,126_good
i-sa,127_bad
-kiðin,128_correcttrue
paxsaŋɔ,129_dirty
to-momf,130_rotten
-mɪlas,131_heavy
-atut,132_far
-pɪpalaŋ,133_near
ɛ-susus,134_cold
-masɪmas,135_dry
-muzɪmus,136_wet
-fɛveo,137_new
ho-mai,139_come
-jar,140_walk
-il,141_stand
-ᵐʙutax,142_sit
i-tiɛx,143_fall
-tutumaf,144_liedown
-per_ɣəni,145_turn
-pəlao,146_climb
-ᵑgar,147_swim
-mɪlax,148_flyverb
-ᵐbʷil_ɣeni,149_throw
-suzuani,150_hide
-han,151_eat
-mun,152_drink
-hanɪmao,153_yawn
-pulai,154_spit
ᵐbuᵐbʷer,155_dream
-pat,156_sleep
-maur,157_live
-mæt,158_die
-wan_ᵐbuni,159_kill
-susuloŋ,161_hear
-mʷonuzi,162_sniffsmell
-mæn,163_laugh
-taŋ,164_cry
e-vuv,165_blow
i-paŋ,166_burn
-soⁿde,167_sew
-tʊxtoɣi,168_pound
-wazi,169_hit
-tai,170_cut
-tafuli,171_split
-xəri,172_dig
-ⁿdasmowai,173_hunt
-təŋao,174_hold
mɪtax,175_fear
-vuroŋi,176_count
-lavɪn-laŋ,177_breathe
-ru,178_vomit
-ᵐbaŋizi,179_tieup
-tʊmb,181_swell
-kele,182_say
-harowi,183_scratch
-turi,184_stab
-vori,185_buy
-vɪnɔɣi,186_steal
-naᵐbʊl,187_plant
-panun,188_cook
-pɛn,189_shoot
-um,190_work
-sɪŋav_ɣeni,191_open
