Vaobeetehul,English Translation
ɣɛte,1_one
ɣɛru,2_two
ɣɛ-tul,3_three
ɣɛ-ðat,4_four
ɣɪ-linɛ,5_five
ɣi-jon,6_six
ɣɛ-ᵐbʉt,7_seven
ɣo-al,8_eight
ɣe-hiβɛ,9_nine
-haŋaβul,10_ten
mʷovul_ɣɛ-ru,11_twenty
mʷovul_ɣɛ-linɛ,12_fifty
mʷopaŋavul,13_onehundred
maɛɾ,17_left
ɣina,18_i
ɣiniɣo,23_thou
kami,25_youall
inirɛ,27_theyall
naha,30_what
ihɛ,31_who
nambɛ,32_where
a-ðarako,34_how
-aul,37_above
-woturan,38_below
-lolon,39_ininside
ᵐbatu-nɛ,40_head
wulu-nɛ,41_hair
nata-n,42_eye
wohori-nɛ,43_nose
pororo-n,44_ear
siŋo-n,45_mouth
nɛnɛ-n,46_tongue
ni-na-k,48_hand
ᵐbulaɣaho-n,50_neck
wotura-n,51_back
karu-nɛ,52_leg
nɛ-rɛ,53_blood
hu-nɛ,54_bone
ᵐbulvulu-nɛ,55_skin
tinɛ-n,57_intestines
huhu-nɛ,58_breast
ᵐbɛᵐbɛn,59_liver
viɾi,60_dog
na-nas,62_fish
na-mat,63_snake
poloslas,64_worm
na-ɣut,65_louse
ɣarið,66_rat
na-ᵐbar,67_spider
na-muɣɛ,68_mosquito
tooli-nɛ,69_egg
woturaa-n,70_tail
ɣaᵐbɛ-n,71_wing
wulu-nɛ,72_feather
namɛr,73_man
ðaðinɛ,74_woman
nasorik,75_child
ᵐbee,77_mother
tɛɛ,78_father
teðena_tu-k,79_husband
nuku_ðaðinɛ,80_wife
potmaɣaβ,94_dust
ðihiɣo-n,101_meatflesh
nɛ-ɣe,107_wood
ni-at,110_thatchroof
ne-ɪmɛ,111_house
nu-ɛh,112_rope
mʷo-βor,121_sharp
mʷo-ᵐbatox,122_bluntdull
mʷo-lalo,129_dirty
-nergit,133_near
mʷo-nɛ,139_come
mʷo-ɛh,140_walk
mʷo-tur,141_stand
mʷo-tur_aul,141_stand
mʷo-at,142_sit
mʷo-rori,145_turn
mʷo-ðɛn,146_climb
mʷo-kar,147_swim
mʷo-vir,148_flyverb
mʷo-hilðeni,150_hide
mʷo-ɣɛnɣan,151_eat
mʷo-moni,152_drink
mʷo-ɣɛnma,153_yawn
mʷo-lutoð,154_spit
mʷo-naliɣo,156_sleep
mʷo-naur,157_live
mʷo-nat,158_die
mʷo-luhu-nɛte,159_kill
mʷo-lehi,160_see
mo-roŋɛ,161_hear
mʷo-nan,163_laugh
mʷo-taŋ,164_cry
mʷo-lohu,168_pound
mʷo-lohu,169_hit
mʷo-tɛi,170_cut
mʷo-tɪvɛɣahi,171_split
mʷo-ɣeli,172_dig
mʷo-tɛrtɛɣoni,174_hold
mʷo-nataβ,175_fear
mʷo-lulu,178_vomit
mʷo-tali,179_tieup
mʷo-virgɛni,180_squeeze
mʷo-ᵐburɛ,181_swell
-vɛrɛi,182_say
mʷo-βoli,185_buy
mʷo-ðanaɣo,186_steal
mʷo-tuntun,188_cook
mʷo-tikehi,191_open
